height1,weight1,reach1,stance1,age1,slpm1,str_acc1,sapm1,str_def1,td_avg1,td_acc1,td_def1,sub_avg1,height2,weight2,reach2,stance2,age2,slpm2,str_acc2,sapm2,str_def2,td_avg2,td_acc2,td_def2,sub_avg2,result
0,0,0,0,25,5.34,48,3.74,0,0.68,16,50,0.0,0,0,0,0,25,3.2,40,3.82,0,1.11,28,65,0.6,0
0,0,0,0,25,1.77,68,1.74,0,9.31,60,0,1.1,0,0,0,0,25,1.1,58,2.11,0,0.0,0,55,1.4,1
0,0,0,0,25,1.1,58,2.11,0,0.0,0,55,1.4,0,0,0,0,25,1.77,68,1.74,0,9.31,60,0,1.1,0
0,0,0,0,25,2.35,50,2.73,0,1.93,33,42,2.3,0,0,0,0,25,6.45,41,6.55,0,0.86,62,64,0.0,1
0,0,0,0,25,6.45,41,6.55,0,0.86,62,64,0.0,0,0,0,0,25,2.35,50,2.73,0,1.93,33,42,2.3,0
0,0,0,0,25,5.16,44,7.92,0,0.0,0,41,0.0,0,0,0,0,25,6.3,40,6.67,0,0.0,0,60,0.0,1
0,0,0,0,25,6.3,40,6.67,0,0.0,0,60,0.0,0,0,0,0,25,5.16,44,7.92,0,0.0,0,41,0.0,0
0,0,0,0,25,3.87,56,2.47,0,2.03,51,73,0.1,0,0,0,0,25,4.28,47,4.07,0,0.0,0,47,0.0,1
0,0,0,0,25,4.28,47,4.07,0,0.0,0,47,0.0,0,0,0,0,25,3.87,56,2.47,0,2.03,51,73,0.1,0
0,0,0,0,25,7.17,53,5.19,0,1.04,42,81,0.3,0,0,0,0,25,3.21,48,3.39,0,2.73,25,66,0.0,1
0,0,0,0,25,3.21,48,3.39,0,2.73,25,66,0.0,0,0,0,0,25,7.17,53,5.19,0,1.04,42,81,0.3,0
0,0,0,0,25,4.67,53,5.0,0,0.17,20,100,0.2,0,0,0,0,25,2.4,25,3.87,0,0.0,0,100,0.0,1
0,0,0,0,25,2.4,25,3.87,0,0.0,0,100,0.0,0,0,0,0,25,4.67,53,5.0,0,0.17,20,100,0.2,0
0,0,0,0,25,2.62,33,3.77,0,2.5,20,50,0.2,0,0,0,0,25,3.49,41,5.23,0,0.36,11,25,0.5,1
0,0,0,0,25,3.49,41,5.23,0,0.36,11,25,0.5,0,0,0,0,25,2.62,33,3.77,0,2.5,20,50,0.2,0
0,0,0,0,25,3.96,44,3.62,0,1.51,44,64,0.4,0,0,0,0,25,4.45,46,4.03,0,0.84,26,63,0.3,1
0,0,0,0,25,4.45,46,4.03,0,0.84,26,63,0.3,0,0,0,0,25,3.96,44,3.62,0,1.51,44,64,0.4,0
0,0,0,0,25,7.87,60,4.2,0,2.0,66,88,1.0,0,0,0,0,25,4.36,40,4.33,0,0.66,17,56,0.1,1
0,0,0,0,25,4.36,40,4.33,0,0.66,17,56,0.1,0,0,0,0,25,7.87,60,4.2,0,2.0,66,88,1.0,0
0,0,0,0,25,3.44,44,5.08,0,0.0,0,33,1.7,0,0,0,0,25,5.02,56,4.69,0,0.0,0,60,0.2,1
0,0,0,0,25,5.02,56,4.69,0,0.0,0,60,0.2,0,0,0,0,25,3.44,44,5.08,0,0.0,0,33,1.7,0
0,0,0,0,25,1.51,44,1.37,0,4.01,41,0,1.1,0,0,0,0,25,3.57,37,4.0,0,0.59,40,58,0.5,1
0,0,0,0,25,3.57,37,4.0,0,0.59,40,58,0.5,0,0,0,0,25,1.51,44,1.37,0,4.01,41,0,1.1,0
0,0,0,0,25,5.4,52,2.7,0,0.0,0,100,0.0,0,0,0,0,25,2.67,40,4.13,0,1.07,25,38,1.4,1
0,0,0,0,25,2.67,40,4.13,0,1.07,25,38,1.4,0,0,0,0,25,5.4,52,2.7,0,0.0,0,100,0.0,0
0,0,0,0,25,5.1,44,5.99,0,0.0,0,65,0.0,0,0,0,0,25,2.71,43,3.8,0,1.09,36,64,0.8,1
0,0,0,0,25,2.71,43,3.8,0,1.09,36,64,0.8,0,0,0,0,25,5.1,44,5.99,0,0.0,0,65,0.0,0
0,0,0,0,25,6.06,64,2.23,0,0.0,0,90,0.0,0,0,0,0,25,2.18,36,5.25,0,0.45,33,31,0.0,1
0,0,0,0,25,2.18,36,5.25,0,0.45,33,31,0.0,0,0,0,0,25,6.06,64,2.23,0,0.0,0,90,0.0,0
0,0,0,0,25,4.44,49,3.09,0,1.96,38,58,1.2,0,0,0,0,25,3.63,50,2.66,0,1.84,46,69,1.2,1
0,0,0,0,25,3.63,50,2.66,0,1.84,46,69,1.2,0,0,0,0,25,4.44,49,3.09,0,1.96,38,58,1.2,0
0,0,0,0,25,4.28,48,3.87,0,3.12,47,81,0.9,0,0,0,0,25,5.62,55,5.37,0,0.87,80,58,0.4,1
0,0,0,0,25,5.62,55,5.37,0,0.87,80,58,0.4,0,0,0,0,25,4.28,48,3.87,0,3.12,47,81,0.9,0
0,0,0,0,25,4.01,43,4.47,0,3.21,43,77,0.2,0,0,0,0,25,3.78,46,3.17,0,2.5,51,31,0.2,1
0,0,0,0,25,3.78,46,3.17,0,2.5,51,31,0.2,0,0,0,0,25,4.01,43,4.47,0,3.21,43,77,0.2,0
0,0,0,0,25,5.45,49,4.07,0,1.74,40,80,0.2,0,0,0,0,25,3.23,43,6.01,0,4.75,38,0,1.9,1
0,0,0,0,25,3.23,43,6.01,0,4.75,38,0,1.9,0,0,0,0,25,5.45,49,4.07,0,1.74,40,80,0.2,0
0,0,0,0,25,3.75,50,2.61,0,0.0,0,85,0.0,0,0,0,0,25,3.87,43,3.82,0,1.59,31,68,0.1,1
0,0,0,0,25,3.87,43,3.82,0,1.59,31,68,0.1,0,0,0,0,25,3.75,50,2.61,0,0.0,0,85,0.0,0
0,0,0,0,25,4.0,55,2.94,0,3.62,54,86,0.9,0,0,0,0,25,2.62,54,2.42,0,1.18,36,63,0.4,1
0,0,0,0,25,2.62,54,2.42,0,1.18,36,63,0.4,0,0,0,0,25,4.0,55,2.94,0,3.62,54,86,0.9,0
0,0,0,0,25,6.77,55,4.21,0,0.58,60,85,0.2,0,0,0,0,25,3.44,49,3.03,0,1.03,48,69,0.3,1
0,0,0,0,25,3.44,49,3.03,0,1.03,48,69,0.3,0,0,0,0,25,6.77,55,4.21,0,0.58,60,85,0.2,0
0,0,0,0,25,4.19,50,3.1,0,0.77,37,54,0.6,0,0,0,0,25,1.77,61,3.06,0,2.0,52,68,1.0,1
0,0,0,0,25,1.77,61,3.06,0,2.0,52,68,1.0,0,0,0,0,25,4.19,50,3.1,0,0.77,37,54,0.6,0
0,0,0,0,25,5.73,40,2.82,0,3.07,100,0,2.3,0,0,0,0,25,5.28,49,4.65,0,1.78,36,38,0.5,1
0,0,0,0,25,5.28,49,4.65,0,1.78,36,38,0.5,0,0,0,0,25,5.73,40,2.82,0,3.07,100,0,2.3,0
0,0,0,0,25,4.2,45,3.63,0,4.1,43,37,0.6,0,0,0,0,25,2.11,45,1.9,0,0.63,14,44,0.0,1
0,0,0,0,25,2.11,45,1.9,0,0.63,14,44,0.0,0,0,0,0,25,4.2,45,3.63,0,4.1,43,37,0.6,0
0,0,0,0,25,5.66,51,3.89,0,1.41,48,72,0.6,0,0,0,0,25,3.46,49,4.15,0,1.91,50,83,0.4,1
0,0,0,0,25,3.46,49,4.15,0,1.91,50,83,0.4,0,0,0,0,25,5.66,51,3.89,0,1.41,48,72,0.6,0
0,0,0,0,25,4.13,51,3.68,0,1.56,30,100,0.5,0,0,0,0,25,3.07,40,3.26,0,0.43,21,66,0.0,1
0,0,0,0,25,3.07,40,3.26,0,0.43,21,66,0.0,0,0,0,0,25,4.13,51,3.68,0,1.56,30,100,0.5,0
0,0,0,0,25,3.73,50,3.42,0,1.85,50,100,0.0,0,0,0,0,25,3.75,39,3.8,0,0.0,0,20,0.5,1
0,0,0,0,25,3.75,39,3.8,0,0.0,0,20,0.5,0,0,0,0,25,3.73,50,3.42,0,1.85,50,100,0.0,0
0,0,0,0,25,3.6,48,3.31,0,1.39,33,75,0.1,0,0,0,0,25,4.7,50,4.13,0,1.38,46,50,0.2,1
